house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
203000,0.08387,No,6,4.5026,398,18.7,0.437,5
280000,0.04113,No,7,5.4007,281,19,0.426,4
239000,0.04462,No,7,5.4007,281,19,0.426,4
248000,0.03659,No,6,5.4007,281,19,0.426,4
229000,0.03551,No,6,5.4007,281,19,0.426,4
239000,0.05059,No,6,4.7794,247,18.5,0.449,3
266000,0.05735,,7,4.4377,247,18.5,0.449,3
225000,0.05188,,6,4.4272,247,18.5,0.449,3
222000,0.07151,,6,3.7476,247,18.5,0.449,3
236000,0.0566,,7,3.4217,270,17.8,0.489,2
287000,0.05302,,7,3.4145,270,17.8,0.489,2
226000,0.04684,No,6,3.0923,270,17.8,0.489,2
220000,0.03932,No,6,3.0921,270,17.8,0.489,2
229000,0.04203,No,6,3.6659,270,18.2,0.464,4
250000,0.02875,No,6,3.6659,270,18.2,0.464,4
206000,0.04294,No,6,3.615,270,18.2,0.464,4
284000,0.12204,No,7,3.4952,276,18,0.445,2
214000,0.11504,No,6,3.4952,276,18,0.445,2
387000,0.12083,No,8,3.4952,276,18,0.445,2
438000,0.08187,No,8,3.4952,276,18,0.445,2
332000,0.0686,No,7,3.4952,276,18,0.445,2
275000,0.14866,No,7,2.7778,384,20.9,0.52,5
265000,0.11432,No,7,2.8561,384,20.9,0.52,5
186000,0.22876,No,6,2.7147,384,20.9,0.52,5
193000,0.21161,No,6,2.7147,384,20.9,0.52,5
201000,0.1396,No,6,2.421,384,20.9,0.52,5
195000,0.13262,No,6,2.1069,384,20.9,0.52,5
195000,0.1712,No,6,2.211,384,20.9,0.52,5
204000,0.13117,No,6,2.1224,384,20.9,0.52,5
198000,0.12802,No,6,2.4329,384,20.9,0.52,5
194000,0.26363,No,6,2.5451,384,20.9,0.52,5
217000,0.10793,No,6,2.7778,384,20.9,0.52,5
228000,0.10084,No,7,2.6775,432,17.8,0.547,6
188000,0.12329,No,6,2.3534,432,17.8,0.547,6
187000,0.22212,No,6,2.548,432,17.8,0.547,6
185000,0.14231,No,6,2.2565,432,17.8,0.547,6
183000,0.17134,No,6,2.4631,432,17.8,0.547,6
212000,0.13158,No,6,2.7301,432,17.8,0.547,6
192000,0.15098,No,6,2.7474,432,17.8,0.547,6
204000,0.13058,No,6,2.4775,432,17.8,0.547,6
193000,0.14476,No,6,2.7592,432,17.8,0.547,6
220000,0.06899,No,6,2.2577,188,19.1,0.581,2
203000,0.07165,No,6,2.1974,188,19.1,0.581,2
205000,0.09299,No,6,2.0869,188,19.1,0.581,2
173000,0.15038,No,6,1.9444,188,19.1,0.581,2
188000,0.09849,No,6,2.0063,188,19.1,0.581,2
214000,0.16902,No,6,1.9929,188,19.1,0.581,2
157000,0.38735,No,6,1.7572,188,19.1,0.581,2
162000,0.25915,No,6,1.7883,437,21.2,0.624,4
180000,0.32543,No,6,1.8125,437,21.2,0.624,4
143000,0.88125,No,6,1.9799,437,21.2,0.624,4
192000,0.34006,No,6,2.1185,437,21.2,0.624,4
196000,1.19294,No,6,2.271,437,21.2,0.624,4
230000,0.59005,No,6,2.3274,437,21.2,0.624,4
184000,0.32982,No,6,2.4699,437,21.2,0.624,4
156000,0.97617,No,6,2.346,437,21.2,0.624,4
181000,0.55778,No,6,2.1107,437,21.2,0.624,4
174000,0.32264,No,6,1.9669,437,21.2,0.624,4
171000,0.35233,No,6,1.8498,437,21.2,0.624,4
133000,0.2498,No,6,1.6686,437,21.2,0.624,4
178000,0.54452,No,6,1.6687,437,21.2,0.624,4
140000,0.2909,No,6,1.6119,437,21.2,0.624,4
144000,1.62864,No,5,1.4394,437,21.2,0.624,4
134000,3.32105,Yes,5,1.3216,403,14.7,0.871,5
156000,4.0974,No,5,1.4118,403,14.7,0.871,5
118000,2.77974,No,5,1.3459,403,14.7,0.871,5
138000,2.37934,No,6,1.4191,403,14.7,0.871,5
156000,2.15505,No,6,1.5166,403,14.7,0.871,5
146000,2.36862,No,5,1.4608,403,14.7,0.871,5
178000,2.33099,No,5,1.5296,403,14.7,0.871,5
154000,2.73397,No,6,1.5257,403,14.7,0.871,5
215000,1.6566,No,6,1.618,403,14.7,0.871,5
196000,1.49632,No,5,1.5916,403,14.7,0.871,5
153000,1.12658,Yes,5,1.6102,403,14.7,0.871,5
194000,2.14918,No,6,1.6232,403,14.7,0.871,5
170000,1.41385,Yes,6,1.7494,403,14.7,0.871,5
156000,3.53501,Yes,6,1.7455,403,14.7,0.871,5
131000,2.44668,No,5,1.7364,403,14.7,0.871,5
413000,1.22358,No,7,1.8773,403,14.7,0.605,5
243000,1.34284,No,6,1.7573,403,14.7,0.605,5
233000,1.42502,No,7,1.7659,403,14.7,0.871,5
270000,1.27346,Yes,6,1.7984,403,14.7,0.605,5
500000,1.46336,No,7,1.9709,403,14.7,0.605,5
500000,1.83377,Yes,8,2.0407,403,14.7,0.605,5
500000,1.51902,Yes,8,2.162,403,14.7,0.605,5
227000,2.24236,No,6,2.422,403,14.7,0.605,5
250000,2.924,No,6,2.2834,403,14.7,0.605,5
500000,2.01019,No,8,2.0459,403,14.7,0.605,5
238000,1.80028,No,6,2.4259,403,14.7,0.605,5
238000,2.3004,No,6,2.1,403,14.7,0.605,5
223000,2.44953,No,6,2.2625,403,14.7,0.605,5
174000,1.20742,No,6,2.4259,403,14.7,0.605,5
191000,2.3139,No,6,2.3887,403,14.7,0.605,5
231000,0.13914,No,6,2.5961,296,16.6,0.51,5
236000,0.09178,No,6,2.6463,296,16.6,0.51,5
226000,0.08447,No,6,2.7019,296,16.6,0.51,5
294000,0.06664,No,7,3.1323,296,16.6,0.51,5
232000,0.07022,No,6,3.5549,296,16.6,0.51,5
246000,0.05425,No,6,3.3175,296,16.6,0.51,5
299000,0.06642,No,7,2.9153,296,16.6,0.51,5
372000,0.0578,No,7,2.829,193,17.8,0.488,3
398000,0.06588,No,8,2.741,193,17.8,0.488,3
362000,0.06888,No,6,2.5979,193,17.8,0.488,3
379000,0.09103,No,7,2.7006,193,17.8,0.488,3
325000,0.10008,No,7,2.847,193,17.8,0.488,3
264000,0.08308,No,6,2.9879,193,17.8,0.488,3
296000,0.06047,No,6,3.2797,193,17.8,0.488,3
500000,0.05602,No,8,3.1992,193,17.8,0.488,3
320000,0.07875,No,7,3.7886,398,15.2,0.437,5
298000,0.12579,No,7,4.5667,398,15.2,0.437,5
349000,0.0837,No,7,4.5667,398,15.2,0.437,5
370000,0.09068,No,7,6.4798,398,15.2,0.437,5
305000,0.06911,No,7,6.4798,398,15.2,0.437,5
364000,0.08664,No,7,6.4798,398,15.2,0.437,5
311000,0.02187,No,7,6.2196,265,15.6,0.401,1
291000,0.01439,No,7,6.2196,265,15.6,0.401,1
500000,0.01381,No,8,5.6484,255,14.4,0.422,4
333000,0.04011,No,7,7.309,329,12.6,0.404,2
303000,0.04666,No,7,7.309,329,12.6,0.404,2
346000,0.03768,No,7,7.309,329,12.6,0.404,2
349000,0.0315,No,7,7.6534,402,17,0.403,3
329000,0.01778,No,7,7.6534,402,17,0.403,3
241000,0.03445,No,6,6.27,348,14.7,0.415,2
423000,0.02177,No,8,6.27,348,14.7,0.415,2
485000,0.0351,No,8,5.118,224,14.7,0.4161,4
500000,0.02009,No,8,5.118,224,14.7,0.4161,4
226000,0.13642,No,6,3.9454,277,18.6,0.489,4
244000,0.22969,No,6,4.3549,277,18.6,0.489,4
225000,0.25199,No,6,4.3549,277,18.6,0.489,4
244000,0.13587,Yes,6,4.2392,277,18.6,0.489,4
200000,0.43571,Yes,5,3.875,277,18.6,0.489,4
217000,0.17446,Yes,6,3.8771,277,18.6,0.489,4
193000,0.37578,Yes,5,3.665,277,18.6,0.489,4
224000,0.21719,Yes,6,3.6526,277,18.6,0.489,4
281000,0.14052,No,6,3.9454,277,18.6,0.489,4
237000,0.28955,No,5,3.5875,277,18.6,0.489,4
250000,0.19802,No,6,3.9454,277,18.6,0.489,4
233000,0.0456,Yes,6,3.1121,276,16.4,0.55,5
287000,0.07013,No,7,3.4211,276,16.4,0.55,5
215000,0.11069,Yes,6,2.8893,276,16.4,0.55,5
230000,0.11425,Yes,6,3.3633,276,16.4,0.55,5
267000,0.35809,Yes,7,2.8617,307,17.4,0.507,8
217000,0.40771,Yes,6,3.048,307,17.4,0.507,8
275000,0.62356,Yes,7,3.2721,307,17.4,0.507,8
301000,0.6147,No,7,3.2721,307,17.4,0.507,8
448000,0.31533,No,8,2.8944,307,17.4,0.504,8
500000,0.52693,No,9,2.8944,307,17.4,0.504,8
376000,0.38214,No,8,3.2157,307,17.4,0.504,8
316000,0.41238,No,7,3.2157,307,17.4,0.504,8
467000,0.29819,No,8,3.3751,307,17.4,0.504,8
315000,0.44178,No,7,3.3751,307,17.4,0.504,8
243000,0.537,No,6,3.6715,307,17.4,0.504,8
317000,0.46296,No,7,3.6715,307,17.4,0.504,8
417000,0.57529,No,8,3.8384,307,17.4,0.507,8
483000,0.33147,No,8,3.6519,307,17.4,0.507,8
290000,0.44791,Yes,7,3.6519,307,17.4,0.507,8
240000,0.33045,No,6,3.6519,307,17.4,0.507,8
251000,0.52058,Yes,7,4.148,307,17.4,0.507,8
315000,0.51183,No,7,4.148,307,17.4,0.507,8
237000,0.08244,No,6,6.1899,300,16.6,0.428,6
233000,0.09252,No,7,6.1899,300,16.6,0.428,6
220000,0.11329,No,7,6.3361,300,16.6,0.428,6
201000,0.10612,No,6,6.3361,300,16.6,0.428,6
222000,0.1029,No,6,7.0355,300,16.6,0.428,6
237000,0.12757,No,6,7.0355,300,16.6,0.428,6
176000,0.20608,No,6,7.9549,330,19.1,0.431,7
185000,0.19133,No,6,7.9549,330,19.1,0.431,7
243000,0.33983,No,6,8.0555,330,19.1,0.431,7
205000,0.19657,No,6,8.0555,330,19.1,0.431,7
245000,0.16439,No,6,7.8265,330,19.1,0.431,7
262000,0.19073,No,7,7.8265,330,19.1,0.431,7
244000,0.1403,No,6,7.3967,330,19.1,0.431,7
248000,0.21409,No,6,7.3967,330,19.1,0.431,7
296000,0.08221,No,7,8.9067,330,19.1,0.431,7
428000,0.36894,No,8,8.9067,330,19.1,0.431,7
219000,0.04819,No,6,9.2203,315,16.4,0.392,1
209000,0.03548,No,6,9.2203,315,16.4,0.392,1
440000,0.01538,No,7,6.3361,244,15.9,0.394,3
500000,0.61154,No,9,1.801,264,13,0.647,5
360000,0.66351,No,7,1.8946,264,13,0.647,5
301000,0.65665,No,7,2.0107,264,13,0.647,5
338000,0.54011,No,7,2.1121,264,13,0.647,5
431000,0.53412,No,8,2.1398,264,13,0.647,5
488000,0.52014,No,8,2.2885,264,13,0.647,5
310000,0.82526,No,7,2.0788,264,13,0.647,5
365000,0.55007,No,7,1.9301,264,13,0.647,5
228000,0.76162,No,6,1.9865,264,13,0.647,5
307000,0.7857,No,7,2.1329,264,13,0.647,5
500000,0.57834,No,8,2.4216,264,13,0.575,5
435000,0.5405,No,7,2.872,264,13,0.575,5
207000,0.09065,Yes,6,3.9175,223,18.6,0.464,3
211000,0.29916,No,6,4.429,223,18.6,0.464,3
252000,0.16211,No,6,4.429,223,18.6,0.464,3
244000,0.1146,No,7,3.9175,223,18.6,0.464,3
352000,0.22188,Yes,8,4.3665,223,18.6,0.464,3
324000,0.05644,Yes,7,4.0776,254,17.6,0.447,4
320000,0.09604,No,7,4.2673,254,17.6,0.447,4
332000,0.10469,Yes,7,4.7872,254,17.6,0.447,4
331000,0.06127,Yes,7,4.8628,254,17.6,0.447,4
291000,0.07978,No,6,4.1403,254,17.6,0.447,4
351000,0.21038,No,7,4.1007,216,14.9,0.4429,5
454000,0.03578,No,8,4.6947,216,14.9,0.4429,5
354000,0.03705,No,7,5.2447,216,14.9,0.4429,5
460000,0.06129,Yes,8,5.2119,216,14.9,0.4429,5
500000,0.01501,Yes,8,5.885,198,13.6,0.401,1
322000,0.00906,No,7,7.3073,285,15.3,0.4,1
220000,0.01096,No,6,7.3073,300,15.3,0.389,1
201000,0.01965,No,6,9.0892,241,18.2,0.385,1
232000,0.03871,No,6,7.3172,293,16.6,0.405,6
223000,0.0459,No,6,7.3172,293,16.6,0.405,6
248000,0.04297,No,7,7.3172,293,16.6,0.405,6
285000,0.03502,No,7,5.1167,245,19.2,0.411,4
373000,0.07886,No,7,5.1167,245,19.2,0.411,4
279000,0.03615,No,7,5.1167,245,19.2,0.411,4
239000,0.08265,No,6,5.5027,289,16,0.437,4
217000,0.08199,No,6,5.5027,289,16,0.437,4
286000,0.12932,No,7,5.9604,289,16,0.437,4
271000,0.05372,No,7,5.9604,289,16,0.437,4
203000,0.14103,No,6,6.32,289,16,0.437,4
225000,0.06466,No,6,7.8278,358,14.8,0.4,5
290000,0.05561,No,7,7.8278,358,14.8,0.4,5
248000,0.04417,No,7,7.8278,358,14.8,0.4,5
220000,0.03537,No,7,5.4917,329,16.1,0.433,7
264000,0.09266,No,6,5.4917,329,16.1,0.433,7
331000,0.1,No,7,5.4917,329,16.1,0.433,7
361000,0.05515,No,7,4.022,222,18.4,0.472,7
284000,0.05479,No,7,3.37,222,18.4,0.472,7
334000,0.07503,No,7,3.0992,222,18.4,0.472,7
282000,0.04932,No,7,3.1827,222,18.4,0.472,7
228000,0.49298,No,7,3.3175,304,18.4,0.544,4
203000,0.3494,No,6,3.1025,304,18.4,0.544,4
161000,2.63548,No,5,2.5194,304,18.4,0.544,4
221000,0.79041,No,6,2.6403,304,18.4,0.544,4
194000,0.26169,No,6,2.834,304,18.4,0.544,4
216000,0.26938,No,6,3.2628,304,18.4,0.544,4
238000,0.3692,No,7,3.6023,304,18.4,0.544,4
162000,0.25356,No,6,3.945,304,18.4,0.544,4
178000,0.31827,No,6,3.9986,304,18.4,0.544,4
198000,0.24522,No,6,4.0317,304,18.4,0.544,4
231000,0.40202,No,6,3.5325,304,18.4,0.544,4
210000,0.47547,No,6,4.0019,304,18.4,0.544,4
238000,0.1676,No,6,4.5404,287,19.6,0.493,5
231000,0.18159,No,6,4.5404,287,19.6,0.493,5
204000,0.35114,No,6,4.7211,287,19.6,0.493,5
185000,0.28392,No,6,4.7211,287,19.6,0.493,5
250000,0.34109,No,6,4.7211,287,19.6,0.493,5
246000,0.19186,No,6,5.4159,287,19.6,0.493,5
230000,0.30347,No,6,5.4159,287,19.6,0.493,5
222000,0.24103,No,6,5.4159,287,19.6,0.493,5
193000,0.06617,No,6,5.2146,430,16.9,0.46,4
226000,0.06724,No,6,5.2146,430,16.9,0.46,4
198000,0.04544,No,6,5.8736,430,16.9,0.46,4
171000,0.05023,No,6,6.6407,304,16.9,0.4379,1
194000,0.03466,No,6,6.6407,304,16.9,0.4379,1
222000,0.05083,No,6,6.4584,224,20.2,0.515,5
207000,0.03738,No,6,6.4584,224,20.2,0.515,5
211000,0.03961,No,6,5.9853,224,20.2,0.515,5
195000,0.03427,No,6,5.2311,224,20.2,0.515,5
185000,0.03041,No,6,5.615,224,20.2,0.515,5
206000,0.03306,No,6,4.8122,224,20.2,0.515,5
190000,0.05497,No,6,4.8122,224,20.2,0.515,5
187000,0.06151,No,6,4.8122,224,20.2,0.515,5
327000,0.01301,No,7,7.0379,284,15.5,0.442,1
165000,0.02498,No,7,6.2669,422,15.9,0.518,1
239000,0.02543,No,7,5.7321,370,17.6,0.484,5
312000,0.03049,No,7,6.4654,370,17.6,0.484,5
175000,0.03113,No,6,8.0136,352,18.8,0.442,3
172000,0.06162,No,6,8.0136,352,18.8,0.442,3
231000,0.0187,No,7,8.5353,351,17.9,0.429,4
245000,0.01501,No,7,8.344,280,17,0.435,4
266000,0.02899,No,7,8.7921,335,19.7,0.429,1
229000,0.06211,No,6,8.7921,335,19.7,0.429,1
241000,0.0795,No,7,10.7103,411,18.3,0.411,4
186000,0.07244,No,6,10.7103,411,18.3,0.411,4
301000,0.01709,No,7,12.1265,187,17,0.41,5
182000,0.04301,No,6,10.5857,334,22,0.413,4
206000,0.10659,No,6,10.5857,334,22,0.413,4
178000,8.98296,Yes,6,2.1222,666,20.2,0.77,24
217000,3.8497,Yes,6,2.5052,666,20.2,0.77,24
227000,5.20177,Yes,6,2.7227,666,20.2,0.77,24
226000,4.26131,No,6,2.5091,666,20.2,0.77,24
250000,4.54192,No,6,2.5182,666,20.2,0.77,24
199000,3.83684,No,6,2.2955,666,20.2,0.77,24
208000,3.67822,No,5,2.1036,666,20.2,0.77,24
168000,4.22239,Yes,6,1.9047,666,20.2,0.77,24
219000,3.47428,Yes,9,1.9047,666,20.2,0.718,24
275000,4.55587,No,4,1.6132,666,20.2,0.718,24
219000,3.69695,No,5,1.7523,666,20.2,0.718,24
231000,13.5222,No,4,1.5106,666,20.2,0.631,24
500000,4.89822,No,5,1.3325,666,20.2,0.631,24
500000,5.66998,Yes,7,1.3567,666,20.2,0.631,24
500000,6.53876,Yes,7,1.2024,666,20.2,0.631,24
500000,9.2323,No,6,1.1691,666,20.2,0.631,24
500000,8.26725,Yes,6,1.1296,666,20.2,0.668,24
138000,11.1081,No,5,1.1742,666,20.2,0.668,24
138000,18.4982,No,4,1.137,666,20.2,0.668,24
150000,19.6091,No,7,1.3163,666,20.2,0.671,24
139000,15.288,No,7,1.3449,666,20.2,0.671,24
133000,9.82349,No,7,1.358,666,20.2,0.671,24
131000,23.6482,No,6,1.3861,666,20.2,0.671,24
102000,17.8667,No,6,1.3861,666,20.2,0.671,24
104000,88.9762,No,7,1.4165,666,20.2,0.671,24
109000,15.8744,No,7,1.5192,666,20.2,0.671,24
113000,9.18702,No,6,1.5804,666,20.2,0.7,24
123000,7.99248,No,6,1.5331,666,20.2,0.7,24
88000,20.0849,No,4,1.4395,666,20.2,0.7,24
72000,16.8118,No,5,1.4261,666,20.2,0.7,24
105000,24.3938,No,5,1.4672,666,20.2,0.7,24
74000,22.5971,No,5,1.5184,666,20.2,0.7,24
102000,14.3337,No,5,1.5895,666,20.2,0.7,24
115000,8.15174,No,5,1.7281,666,20.2,0.7,24
151000,6.96215,No,6,1.9265,666,20.2,0.7,24
232000,5.29305,No,6,2.1678,666,20.2,0.7,24
97000,11.5779,No,5,1.77,666,20.2,0.7,24
138000,8.64476,No,6,1.7912,666,20.2,0.693,24
127000,13.3598,No,6,1.7821,666,20.2,0.693,24
131000,8.71675,No,6,1.7257,666,20.2,0.693,24
125000,5.87205,No,6,1.6768,666,20.2,0.693,24
85000,7.67202,No,6,1.6334,666,20.2,0.693,24
50000,38.3518,No,5,1.4896,666,20.2,0.693,24
63000,9.91655,No,6,1.5004,666,20.2,0.693,24
56000,25.0461,No,6,1.5888,666,20.2,0.693,24
72000,14.2362,No,6,1.5741,666,20.2,0.693,24
121000,9.59571,No,6,1.639,666,20.2,0.693,24
83000,24.8017,No,5,1.7028,666,20.2,0.693,24
85000,41.5292,No,6,1.6074,666,20.2,0.693,24
50000,67.9208,No,6,1.4254,666,20.2,0.693,24
119000,20.7162,No,4,1.1781,666,20.2,0.659,24
279000,11.9511,No,6,1.2852,666,20.2,0.659,24
172000,7.40389,No,6,1.4547,666,20.2,0.597,24
275000,14.4383,No,7,1.4655,666,20.2,0.597,24
150000,51.1358,No,6,1.413,666,20.2,0.597,24
172000,14.0507,No,7,1.5275,666,20.2,0.597,24
179000,18.811,No,5,1.5539,666,20.2,0.597,24
163000,28.6558,No,5,1.5894,666,20.2,0.597,24
70000,45.7461,No,5,1.6582,666,20.2,0.693,24
72000,18.0846,No,6,1.8347,666,20.2,0.679,24
75000,10.8342,No,7,1.8195,666,20.2,0.679,24
104000,25.9406,No,5,1.6475,666,20.2,0.679,24
88000,73.5341,No,6,1.8026,666,20.2,0.679,24
84000,11.8123,No,7,1.794,666,20.2,0.718,24
167000,11.0874,No,6,1.8589,666,20.2,0.718,24
142000,7.02259,No,6,1.8746,666,20.2,0.718,24
208000,12.0482,No,6,1.9512,666,20.2,0.614,24
134000,7.05042,No,6,2.0218,666,20.2,0.614,24
117000,8.79212,No,6,2.0635,666,20.2,0.584,24
83000,15.8603,No,6,1.9096,666,20.2,0.679,24
102000,12.2472,No,6,1.9976,666,20.2,0.584,24
109000,37.6619,No,6,1.8629,666,20.2,0.679,24
110000,7.36711,No,6,1.9356,666,20.2,0.679,24
95000,9.33889,No,6,1.9682,666,20.2,0.679,24
145000,8.49213,No,6,2.0527,666,20.2,0.584,24
141000,10.0623,No,7,2.0882,666,20.2,0.584,24
161000,6.44405,No,6,2.2004,666,20.2,0.584,24
143000,5.58107,No,6,2.3158,666,20.2,0.713,24
117000,13.9134,No,6,2.2222,666,20.2,0.713,24
134000,11.1604,No,7,2.1247,666,20.2,0.74,24
96000,14.4208,No,6,2.0026,666,20.2,0.74,24
87000,15.1772,No,6,1.9142,666,20.2,0.74,24
84000,13.6781,No,6,1.8206,666,20.2,0.74,24
128000,9.39063,No,6,1.8172,666,20.2,0.74,24
105000,22.0511,No,6,1.8662,666,20.2,0.74,24
171000,9.72418,No,6,2.0651,666,20.2,0.74,24
184000,5.66637,No,6,2.0048,666,20.2,0.74,24
154000,9.96654,No,6,1.9784,666,20.2,0.74,24
108000,12.8023,No,6,1.8956,666,20.2,0.74,24
118000,10.6718,No,6,1.9879,666,20.2,0.74,24
149000,6.28807,No,6,2.072,666,20.2,0.74,24
126000,9.92485,No,6,2.198,666,20.2,0.74,24
141000,9.32909,No,6,2.2616,666,20.2,0.713,24
130000,7.52601,No,6,2.185,666,20.2,0.713,24
134000,6.71772,No,7,2.3236,666,20.2,0.713,24
152000,5.44114,No,7,2.3552,666,20.2,0.713,24
161000,5.09017,No,6,2.3682,666,20.2,0.713,24
178000,8.24809,No,7,2.4527,666,20.2,0.713,24
149000,9.51363,No,7,2.4961,666,20.2,0.713,24
141000,4.75237,No,7,2.4358,666,20.2,0.713,24
127000,4.66883,No,6,2.5806,666,20.2,0.713,24
135000,8.20058,No,6,2.7792,666,20.2,0.713,24
149000,7.75223,No,6,2.7831,666,20.2,0.713,24
200000,6.80117,No,6,2.7175,666,20.2,0.713,24
164000,4.81213,No,7,2.5975,666,20.2,0.713,24
177000,3.69311,No,6,2.5671,666,20.2,0.713,24
195000,6.65492,No,6,2.7344,666,20.2,0.713,24
202000,5.82115,No,7,2.8016,666,20.2,0.713,24
214000,7.83932,No,6,2.9634,666,20.2,0.655,24
199000,3.1636,No,6,3.0665,666,20.2,0.655,24
190000,3.77498,No,6,2.8715,666,20.2,0.655,24
191000,4.42228,No,6,2.5403,666,20.2,0.584,24
191000,15.5757,No,6,2.9084,666,20.2,0.58,24
201000,13.0751,No,6,2.8237,666,20.2,0.58,24
199000,4.34879,No,6,3.0334,666,20.2,0.58,24
196000,4.03841,No,6,3.0993,666,20.2,0.532,24
232000,3.56868,No,6,2.8965,666,20.2,0.58,24
298000,4.64689,No,7,2.5329,666,20.2,0.614,24
138000,8.05579,No,5,2.4298,666,20.2,0.584,24
133000,6.39312,No,6,2.206,666,20.2,0.584,24
167000,4.87141,No,6,2.3053,666,20.2,0.614,24
120000,15.0234,No,5,2.1007,666,20.2,0.614,24
146000,10.233,No,6,2.1705,666,20.2,0.614,24
214000,14.3337,No,6,1.9512,666,20.2,0.614,24
230000,5.82401,No,6,3.4242,666,20.2,0.532,24
